security_code,security_name,board,listing_year,period,log_offline_oversubscription,base_value,predicted_log,shap__total_issue_shares_10k,shap__offline_issue_before_clawback_10k,shap__online_issue_before_clawback_10k,shap__strategic_allocation_10k,shap__strategic_allocation_share_pct,shap__offline_issue_before_share_pct,shap__subscription_upper_limit_10k,shap__subscription_lower_limit_10k,shap__subscription_step_10k,shap__comparable_pe_avg_ex_nonrecurring,shap__industry_pe_at_ipo,shap__recent_ipo_first_day_return_ma20,shap__market_turnover_ma20,shap__market_turnover_pct_rank_1y,shap__market_turnover_ma20_over_ma60,shap__market_return_ma20,shap__concurrent_ipo_count,shap__same_board_concurrent_ipo_count,shap__concurrent_offline_issue_sum_10k,shap__same_board_break_rate_ma10,shap__board
688001.SH,华兴源创,科创板,2019.0,2019-2020 注册制早期,5.6380959169990374,7.798799785020949,5.6498035923083645,-0.014011658831707192,-0.054542957605909284,-0.007130558297547179,0.010896181411827709,-0.07378179372004773,-0.17832797709242887,-0.123394446391179,0.047339559825561844,0.08782435616440351,-0.028470119564372492,-0.014496039194000528,-0.0460863936060296,-1.3239993229020839,-0.033949107904624305,-0.22603002729516308,-0.003188550331098538,-0.03982788321791344,-0.029476014041716885,-0.02377656322053283,-0.005045721677121936,-0.06952115522090058
688002.SH,睿创微纳,科创板,2019.0,2019-2020 注册制早期,5.608255671390708,7.798799785020949,5.5998768654918765,-0.06827525159760947,-0.102934721253666,-0.025112262998761518,-0.06959685754587741,-0.003723246384503687,-0.10447136033208845,-0.0929960920351342,0.03667626958872709,0.08866130773322567,-0.007346379278650135,-0.00985491694590984,-0.051327113262155374,-1.371169107135485,-0.06697656662445854,-0.12048849577250505,-0.07230645381546902,-0.030836895472387552,-0.017034377749027826,-0.02797675647713306,-0.003779012782104398,-0.07805462938809865
688003.SH,天准科技,科创板,2019.0,2019-2020 注册制早期,5.524329200404139,7.798799785020949,5.650816798058442,-0.05813987501279909,-0.08684004617612978,-0.0768942763171889,0.011680331095898265,-0.0780582711070349,-0.0003361272670768826,-0.11137769843943436,-0.021314057702332044,0.08842980233554876,-0.026021656839485895,-0.015878165393996762,-0.06437547506093261,-1.3774901742247863,-0.0434553489397705,-0.11330801430514778,-0.042911673730548966,-0.02657277800690667,-0.00011414552177658544,-0.03551319213275902,-0.003330378900322883,-0.06616176531552459
688004.SH,博汇科技,科创板,2020.0,2019-2020 注册制早期,7.8024303057273885,7.798799785020949,7.763226526350972,0.05795458513414348,0.11482343753189948,0.034376208003461695,0.020934205828279897,0.05685849210709002,0.01747214433351446,-0.10181368238398682,0.04939695096800961,0.09868782340264762,-0.0006720150764503561,-0.02158129646654404,0.021171856432031233,-0.30793917554267114,-0.04389533905488371,0.013843603352268197,0.010218915741756375,-0.013011047426922944,0.02433289682881033,0.0002765994782783924,-0.00030357565618452967,-0.06670484620452469
688005.SH,容百科技,科创板,2019.0,2019-2020 注册制早期,5.812727159498906,7.798799785020949,5.804218953472153,0.005375490798192173,-0.06138146173311636,-0.006378850404453488,0.02229340837247001,-0.06468617339479026,-0.12360301027049204,-0.06963857844528466,0.035903912206337284,0.08316557987267814,0.03562974028452276,-0.006804587959731732,0.01932657776596016,-1.175779425544176,-0.0583358514189005,-0.0408231492691794,-0.01829489329458851,-0.14952402124069158,-0.3475304587327924,-0.029501022830384246,0.0017615436110263772,-0.04575559992140178
688006.SH,杭可科技,科创板,2019.0,2019-2020 注册制早期,5.586410854356912,7.798799785020949,5.563388814810246,-0.005942808333864811,-0.03543839267962247,0.0004014586779453895,0.016524466568791887,-0.10240831818332448,-0.1885939111845296,-0.11196193725542843,0.06882035881810676,0.08506616672927622,0.005421006610592991,-0.016186032651879848,-0.020964277338499093,-1.3001602254507005,-0.0643353395823392,-0.10928326547397962,-0.06135741656111802,-0.029859738592408813,-0.28518109661285573,-0.03611817341911615,0.0004516921751807662,-0.04430518647093036
688007.SH,光峰科技,科创板,2019.0,2019-2020 注册制早期,5.783104615091201,7.798799785020949,5.793730293707781,-0.039224403452421,-0.174746736885448,-0.013763916490584215,-0.055572042331708524,0.005024437586373598,-0.045113858275526275,-0.07244490614905458,0.09481536774981504,0.08469550926174887,0.021474224346129674,-0.001033589435248667,0.05119551199542919,-1.2097502775944164,-0.05543866720359991,-0.05349761411862304,-0.018477577676503838,-0.14465829374475414,-0.32051471256132347,-0.019725674362795362,-0.0014760141864774274,-0.03683625778417987
688008.SH,澜起科技,科创板,2019.0,2019-2020 注册制早期,5.630305995376569,7.798799785020949,5.532646811172004,-0.1590368287228607,-0.24899311178751915,-0.12864392805963865,-0.023018067488168932,-0.031134968687606242,0.024771616316560496,-0.04131824930624194,-0.022367287007631156,0.08961228132646018,0.01773535058353066,0.011208581613313033,-0.018604817526390635,-1.1352357242767925,-0.020082663940832426,-0.03510453510034351,-0.040835341772809695,-0.18952710531159314,-0.3979945670609968,0.12880957444807808,0.0009011958298715004,-0.04729437791733439
688009.SH,中国通号,科创板,2019.0,2019-2020 注册制早期,4.963779857134553,7.798799785020949,5.058591540198849,-0.40407255238836703,-0.43078601900167557,-0.32067319232512104,-0.050356804401450066,-0.13524254302983282,-0.05581715168536905,0.6065383886520911,0.03890026121327773,0.0771039069450086,-0.02698186462210726,-0.01786752831059695,-0.04230691162531941,-1.0089331265718584,-0.08311564364281104,-0.07227965433869109,-0.03183989930479522,-0.22086937665386822,-0.4463677594379158,-0.0700106184409454,0.0006007583224100705,-0.04583091417416375
688010.SH,福光股份,科创板,2019.0,2019-2020 注册制早期,5.7026518357248275,7.798799785020949,5.808846718454282,-0.007892089080482584,0.013935750165218256,-0.01777129421829838,0.012690196001856616,-0.06156178658219032,-0.003375535267017979,-0.10605923140893754,0.03267215507168495,0.08486366288102842,0.03213462909057917,0.008733106399672256,-0.000999631578981743,-1.2733785959035337,-0.057475797033626146,-0.03876811364958562,-0.030412639237967172,-0.13468111181912862,-0.38736251883509404,-0.022898977180993325,-0.0008925104013182117,-0.03145273397955168
